GID	SYMBOL	GENENAME
14143	VaccDscaff17-augustus-gene-149.15	leucine-rich repeat receptor-like protein kinase At5g49770
14144	VaccDscaff17-snap-gene-150.13	leucine-rich repeat receptor-like protein kinase At5g49770
14145	VaccDscaff17-snap-gene-150.15	leucine-rich repeat receptor-like protein kinase At5g49770
14146	VaccDscaff17-augustus-gene-151.16	Leucine-rich repeat receptor-like protein kinase
14147	VaccDscaff17-augustus-gene-151.17	leucine-rich repeat receptor-like protein kinase At5g49770
14148	VaccDscaff17-augustus-gene-151.14	leucine-rich repeat receptor-like protein kinase At5g49770
14149	VaccDscaff17-snap-gene-152.14	-
14150	VaccDscaff17-snap-gene-152.15	leucine-rich repeat receptor-like protein kinase At5g49770
14151	VaccDscaff17-augustus-gene-152.12	Protein tyrosine kinase
14152	VaccDscaff17-processed-gene-153.4	SNARE associated Golgi protein
14153	VaccDscaff17-augustus-gene-153.17	Ferric reduction oxidase 7
14154	VaccDscaff17-augustus-gene-153.18	Ferric reduction oxidase 7
14155	VaccDscaff17-augustus-gene-153.20	Endoglucanase
14156	VaccDscaff17-augustus-gene-153.21	Heat shock chaperonin-binding motif.
14157	VaccDscaff17-snap-gene-153.32	-
14158	VaccDscaff17-processed-gene-154.12	Belongs to the class-I aminoacyl-tRNA synthetase family
14159	VaccDscaff17-augustus-gene-154.18	germin-like protein
14160	VaccDscaff17-snap-gene-154.21	Heavy-metal-associated domain
14161	VaccDscaff17-snap-gene-155.11	leucine-rich repeat receptor-like protein kinase At5g49770
14162	VaccDscaff17-snap-gene-156.27	Heavy-metal-associated domain
14163	VaccDscaff17-snap-gene-156.29	Nuclear pore complex protein
14164	VaccDscaff17-augustus-gene-156.26	Structure-specific nuclease with 5'-flap endonuclease and 5'-3' exonuclease activities involved in DNA replication and repair. During DNA replication, cleaves the 5'-overhanging flap structure that is generated by displacement synthesis when DNA polymerase encounters the 5'-end of a downstream Okazaki fragment. It enters the flap from the 5'-end and then tracks to cleave the flap base, leaving a nick for ligation. Also involved in the long patch base excision repair (LP-BER) pathway, by cleaving within the apurinic apyrimidinic (AP) site-terminated flap. Acts as a genome stabilization factor that prevents flaps from equilibrating into structurs that lead to duplications and deletions. Also possesses 5'-3' exonuclease activity on nicked or gapped double- stranded DNA, and exhibits RNase H activity. Also involved in replication and repair of rDNA and in repairing mitochondrial DNA
14165	VaccDscaff17-augustus-gene-157.13	Hydrolyzes acetyl esters in homogalacturonan regions of pectin. In type I primary cell wall, galacturonic acid residues of pectin can be acetylated at the O-2 and O-3 positions. Decreasing the degree of acetylation of pectin gels in vitro alters their physical properties
14166	VaccDscaff17-snap-gene-157.19	hydrophobic protein
14167	VaccDscaff17-augustus-gene-157.14	Transcription factor
14168	VaccDscaff17-snap-gene-157.22	transcription factor
14169	VaccDscaff17-augustus-gene-158.24	Belongs to the peptidase A1 family
14170	VaccDscaff17-snap-gene-158.28	Isopenicillin N
14171	VaccDscaff17-augustus-gene-159.17	Aminotransferase class-V
14172	VaccDscaff17-augustus-gene-159.18	Methyltransferase required for the conversion of 2- polyprenyl-6-methoxy-1,4-benzoquinol (DDMQH2) to 2-polyprenyl-3- methyl-6-methoxy-1,4-benzoquinol (DMQH2)
14173	VaccDscaff17-augustus-gene-160.11	Pathogenesis-related protein
14174	VaccDscaff17-processed-gene-160.6	protein self-association
14175	VaccDscaff17-snap-gene-160.22	Possibly involved in carbohydrate binding
14176	VaccDscaff17-augustus-gene-160.13	OST-HTH Associated domain
14177	VaccDscaff17-augustus-gene-160.14	OST-HTH Associated domain
14178	VaccDscaff17-augustus-gene-161.14	WAT1-related protein At1g09380-like
14179	VaccDscaff17-augustus-gene-161.12	Zinc finger CCCH domain-containing protein
14180	VaccDscaff17-augustus-gene-161.15	Pyroglutamyl peptidase
14181	VaccDscaff17-processed-gene-161.0	Catalyzes the formation of S-adenosylmethionine from methionine and ATP
14182	VaccDscaff17-augustus-gene-162.21	WAT1-related protein At1g09380-like
14183	VaccDscaff17-snap-gene-162.33	Belongs to the terpene cyclase mutase family
14184	VaccDscaff17-snap-gene-162.36	U4 U6.U5 tri-snRNP-associated protein
14185	VaccDscaff17-augustus-gene-162.28	Belongs to the glycosyltransferase 8 family
14186	VaccDscaff17-augustus-gene-162.27	ABC transporter I family member
14187	VaccDscaff17-augustus-gene-163.16	Golgi membrane protein involved in vesicular trafficking
14188	VaccDscaff17-snap-gene-163.22	Golgi membrane protein involved in vesicular trafficking
14189	VaccDscaff17-augustus-gene-163.20	Ankyrin repeat-containing protein
14190	VaccDscaff17-augustus-gene-163.18	Belongs to the glycosyltransferase 8 family
14191	VaccDscaff17-augustus-gene-163.19	Belongs to the glycosyltransferase 8 family
14192	VaccDscaff17-augustus-gene-164.35	Alkaline and neutral invertase
14193	VaccDscaff17-augustus-gene-164.37	Protein of unknown function, DUF538
14194	VaccDscaff17-processed-gene-164.15	Pentatricopeptide repeat domain
14195	VaccDscaff17-snap-gene-164.42	Belongs to the importin alpha family
14196	VaccDscaff17-snap-gene-165.44	Protein SUPPRESSOR OF GENE SILENCING
14197	VaccDscaff17-processed-gene-165.20	Protein SUPPRESSOR OF GENE SILENCING
14198	VaccDscaff17-augustus-gene-165.31	Protein SUPPRESSOR OF GENE SILENCING
14199	VaccDscaff17-snap-gene-166.24	transcription factor
14200	VaccDscaff17-processed-gene-166.15	Suppressor of mec-8 and unc-52 protein homolog
14201	VaccDscaff17-augustus-gene-167.14	Homeobox protein knotted-1-like
14202	VaccDscaff17-snap-gene-167.21	Pentatricopeptide repeat-containing protein
14203	VaccDscaff17-snap-gene-167.18	isoform X1
14204	VaccDscaff17-snap-gene-167.20	Homeobox protein knotted-1-like
14205	VaccDscaff17-snap-gene-168.20	ATP-dependent serine protease that mediates the selective degradation of misfolded, unassembled or oxidatively damaged polypeptides as well as certain short-lived regulatory proteins in the mitochondrial matrix. May also have a chaperone function in the assembly of inner membrane protein complexes. Participates in the regulation of mitochondrial gene expression and in the maintenance of the integrity of the mitochondrial genome. Binds to mitochondrial DNA in a site-specific manner
14206	VaccDscaff17-snap-gene-168.23	-
14207	VaccDscaff17-augustus-gene-169.21	Belongs to the class I-like SAM-binding methyltransferase superfamily. rRNA adenine N(6)-methyltransferase family
14208	VaccDscaff17-augustus-gene-169.23	Pyrophosphate-energized vacuolar membrane proton pump
14209	VaccDscaff17-augustus-gene-169.22	synthase
14210	VaccDscaff17-processed-gene-169.6	Calreticulin
14211	VaccDscaff17-augustus-gene-169.26	Histidine kinase
14212	VaccDscaff17-augustus-gene-170.27	Belongs to the cysteine synthase cystathionine beta- synthase family
14213	VaccDscaff17-snap-gene-170.36	Dihydrolipoyl dehydrogenase
14214	VaccDscaff17-augustus-gene-170.28	Universal stress protein A-like protein
14215	VaccDscaff17-augustus-gene-170.31	Universal stress protein A-like protein
14216	VaccDscaff17-augustus-gene-170.30	Universal stress protein A-like protein
14217	VaccDscaff17-snap-gene-171.31	Calmodulin-binding protein
14218	VaccDscaff17-augustus-gene-171.25	Belongs to the protein disulfide isomerase family
14219	VaccDscaff17-processed-gene-171.2	Lectin-domain containing receptor kinase
14220	VaccDscaff17-processed-gene-171.10	Pentatricopeptide repeat-containing protein
14221	VaccDscaff17-augustus-gene-172.35	GATA transcription factor
14222	VaccDscaff17-augustus-gene-172.36	Protein DEHYDRATION-INDUCED 19 homolog
14223	VaccDscaff17-augustus-gene-172.33	Belongs to the importin alpha family
14224	VaccDscaff17-snap-gene-172.48	Belongs to the syntaxin family
14225	VaccDscaff17-snap-gene-173.31	phosphatase 2C
14226	VaccDscaff17-augustus-gene-173.21	Belongs to the class I-like SAM-binding methyltransferase superfamily. RsmB NOP family
14227	VaccDscaff17-snap-gene-173.30	isoform X1
14228	VaccDscaff17-processed-gene-173.17	RNA-binding component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation
14229	VaccDscaff17-snap-gene-173.32	single-stranded DNA-binding protein
14230	VaccDscaff17-augustus-gene-174.17	phosphatase 2C
14231	VaccDscaff17-augustus-gene-174.19	phospholipase d
14232	VaccDscaff17-augustus-gene-174.20	-
14233	VaccDscaff17-augustus-gene-175.30	BEST Arabidopsis thaliana protein match is glycosyltransferase family protein 2 (TAIR AT5G60700.1)
14234	VaccDscaff17-augustus-gene-175.27	F-box LRR-repeat protein
14235	VaccDscaff17-augustus-gene-175.28	Plant invertase/pectin methylesterase inhibitor
14236	VaccDscaff17-augustus-gene-175.32	Belongs to the ALAD family
14237	VaccDscaff17-snap-gene-176.32	serine threonine-protein phosphatase
14238	VaccDscaff17-snap-gene-176.35	50S ribosomal protein L18
14239	VaccDscaff17-augustus-gene-176.29	Malignant T-cell-amplified sequence 1 homolog
14240	VaccDscaff17-snap-gene-177.29	Ring finger domain
14241	VaccDscaff17-snap-gene-178.35	Heparan-alpha-glucosaminide
14242	VaccDscaff17-snap-gene-178.34	Belongs to the AAA ATPase family
14243	VaccDscaff17-augustus-gene-179.26	40S ribosomal protein
14244	VaccDscaff17-snap-gene-179.37	ATP-dependent Clp protease proteolytic
14245	VaccDscaff17-processed-gene-179.6	Cell cycle checkpoint control protein
14246	VaccDscaff17-snap-gene-181.52	phosphoinositide phosphatase SAC9
14247	VaccDscaff17-augustus-gene-182.21	NEDD8-activating enzyme E1 catalytic
14248	VaccDscaff17-augustus-gene-182.22	Heavy-metal-associated domain
14249	VaccDscaff17-processed-gene-183.3	Belongs to the GST superfamily
14250	VaccDscaff17-snap-gene-183.34	Microtubule-binding protein
14251	VaccDscaff17-augustus-gene-183.28	Microtubule-binding protein
14252	VaccDscaff17-augustus-gene-183.32	PsbP domain-containing protein 7 chloroplastic
14253	VaccDscaff17-augustus-gene-183.29	WD domain, G-beta repeat
14254	VaccDscaff17-snap-gene-184.36	Belongs to the mitochondrial carrier (TC 2.A.29) family
14255	VaccDscaff17-snap-gene-184.37	Mitochondrial Rho GTPase
14256	VaccDscaff17-augustus-gene-184.33	Mevalonate
14257	VaccDscaff17-snap-gene-185.22	Amidase 1-like
14258	VaccDscaff17-snap-gene-186.23	Belongs to the small heat shock protein (HSP20) family
14259	VaccDscaff17-snap-gene-186.26	Nuclear transcription factor Y subunit
14260	VaccDscaff17-augustus-gene-186.22	Signal peptidase complex subunit
14261	VaccDscaff17-snap-gene-186.24	Ring finger
14262	VaccDscaff17-augustus-gene-186.21	Belongs to the small heat shock protein (HSP20) family
14263	VaccDscaff17-snap-gene-187.30	UDP-N-acetylglucosamine transferase subunit alg13
14264	VaccDscaff17-augustus-gene-187.27	DNA excision repair protein
14265	VaccDscaff17-snap-gene-187.33	Amino-transferase class IV
14266	VaccDscaff17-processed-gene-187.5	Spinocerebellar ataxia type 10 protein domain
14267	VaccDscaff17-augustus-gene-188.20	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
14268	VaccDscaff17-augustus-gene-188.23	Belongs to the peptidase A1 family
14269	VaccDscaff17-snap-gene-188.25	branched-chain-amino-acid aminotransferase-like protein
14270	VaccDscaff17-augustus-gene-189.18	Belongs to the 'GDSL' lipolytic enzyme family
14271	VaccDscaff17-augustus-gene-189.19	Protein of unknown function (DUF1068)
14272	VaccDscaff17-snap-gene-190.29	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
14273	VaccDscaff17-processed-gene-190.0	Protein of unknown function (DUF679)
14274	VaccDscaff17-augustus-gene-191.23	Gibberellin receptor
14275	VaccDscaff17-processed-gene-191.8	-
14276	VaccDscaff17-augustus-gene-191.24	Protein kinase domain
14277	VaccDscaff17-snap-gene-193.32	Belongs to the cyclin family
14278	VaccDscaff17-augustus-gene-193.21	-
14279	VaccDscaff17-snap-gene-193.34	BONZAI 3-like
14280	VaccDscaff17-augustus-gene-193.28	MADF
14281	VaccDscaff17-snap-gene-194.33	Predicted membrane protein
14282	VaccDscaff17-snap-gene-194.35	Trafficking protein particle complex subunit 6B
14283	VaccDscaff17-augustus-gene-195.15	Serine threonine-protein kinase
14284	VaccDscaff17-augustus-gene-195.16	Nucleolar protein
14285	VaccDscaff17-snap-gene-196.22	Double-stranded RNA-binding protein
14286	VaccDscaff17-snap-gene-196.23	Acyltransferase-like protein At1g54570
14287	VaccDscaff17-augustus-gene-197.26	Xylem serine proteinase
14288	VaccDscaff17-snap-gene-197.27	WD repeat-containing protein
14289	VaccDscaff17-augustus-gene-198.23	SEC-C motif
14290	VaccDscaff17-augustus-gene-198.25	Protein of unknown function (DUF1218)
14291	VaccDscaff17-augustus-gene-198.26	serine threonine-protein kinase
14292	VaccDscaff17-snap-gene-199.37	protease
14293	VaccDscaff17-snap-gene-200.25	transcription factor
14294	VaccDscaff17-snap-gene-200.26	Protein ZINC INDUCED
14295	VaccDscaff17-snap-gene-201.31	PspA/IM30 family
14296	VaccDscaff17-snap-gene-202.44	ER membrane protein complex subunit
14297	VaccDscaff17-snap-gene-203.37	-
14298	VaccDscaff17-snap-gene-203.40	Acyl carrier protein
14299	VaccDscaff17-snap-gene-203.39	Calreticulin-3-like
14300	VaccDscaff17-snap-gene-204.38	Dehydrogenase reductase SDR family member
14301	VaccDscaff17-augustus-gene-204.37	AP2-like ethylene-responsive transcription factor
14302	VaccDscaff17-augustus-gene-206.17	Belongs to the helicase family. Dicer subfamily
14303	VaccDscaff17-snap-gene-206.22	Belongs to the helicase family. Dicer subfamily
14304	VaccDscaff17-snap-gene-207.28	Phospholipase A(1)
14305	VaccDscaff17-snap-gene-207.32	Phosphoglycolate
14306	VaccDscaff17-augustus-gene-207.26	Phosphoglycolate
14307	VaccDscaff17-processed-gene-207.2	Pentatricopeptide repeat-containing protein
14308	VaccDscaff17-augustus-gene-208.30	INO80 complex subunit D-like
14309	VaccDscaff17-processed-gene-208.1	Dehydration-responsive element-binding protein
14310	VaccDscaff17-augustus-gene-209.31	Phosphatidylethanolamine-binding protein
14311	VaccDscaff17-augustus-gene-210.24	belongs to the protein kinase superfamily
14312	VaccDscaff17-augustus-gene-210.23	May act as a component of the auxin efflux carrier
14313	VaccDscaff17-processed-gene-210.5	Belongs to the cytochrome P450 family
14314	VaccDscaff17-snap-gene-211.32	Hemiasterlin resistant protein
14315	VaccDscaff17-snap-gene-211.36	Methylmalonate-semialdehyde dehydrogenase
14316	VaccDscaff17-augustus-gene-211.29	Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family
14317	VaccDscaff17-snap-gene-212.32	MADS-box transcription factor
14318	VaccDscaff17-processed-gene-213.0	MADS-box transcription factor
14319	VaccDscaff17-snap-gene-213.31	-
14320	VaccDscaff17-snap-gene-213.35	oligopeptide transporter
14321	VaccDscaff17-augustus-gene-214.25	Belongs to the cullin family
14322	VaccDscaff17-augustus-gene-215.14	Belongs to the peptidase M16 family
14323	VaccDscaff17-augustus-gene-215.15	Belongs to the heat shock protein 70 family
14324	VaccDscaff17-augustus-gene-216.34	GDSL/SGNH-like Acyl-Esterase family found in Pmr5 and Cas1p
14325	VaccDscaff17-snap-gene-216.36	Fatty acid amide
14326	VaccDscaff17-snap-gene-216.38	Phosphoglycerate mutase family
14327	VaccDscaff17-augustus-gene-217.24	methionine sulfoxide reductase
14328	VaccDscaff17-augustus-gene-217.25	sphingolipid transporter spinster homolog
14329	VaccDscaff17-snap-gene-217.30	Belongs to the glutamyl-tRNA reductase family
14330	VaccDscaff17-processed-gene-217.6	Protein RMD5 homolog A-like
14331	VaccDscaff17-augustus-gene-218.15	Transcription factor
14332	VaccDscaff17-processed-gene-218.3	-
14333	VaccDscaff17-augustus-gene-218.18	Inorganic pyrophosphatase
14334	VaccDscaff17-processed-gene-218.1	Belongs to the peptidase A1 family
14335	VaccDscaff17-processed-gene-219.1	wall-associated receptor kinase-like
14336	VaccDscaff17-snap-gene-219.15	squalene
14337	VaccDscaff17-processed-gene-219.3	LL-diaminopimelate aminotransferase
14338	VaccDscaff17-processed-gene-219.5	DUF21 domain-containing protein
14339	VaccDscaff17-processed-gene-220.12	Belongs to the CRISP family
14340	VaccDscaff17-augustus-gene-220.18	MADS
14341	VaccDscaff17-processed-gene-220.5	-
14342	VaccDscaff17-augustus-gene-221.21	-
14343	VaccDscaff17-augustus-gene-221.22	Agamous-like MADS-box protein
14344	VaccDscaff17-snap-gene-221.33	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
14345	VaccDscaff17-augustus-gene-221.25	Dehydrogenase reductase SDR family member
14346	VaccDscaff17-augustus-gene-222.26	Ribosomal RNA small subunit methyltransferase
14347	VaccDscaff17-augustus-gene-222.31	MADS-box transcription factor
14348	VaccDscaff17-augustus-gene-223.15	LETM1 and EF-hand domain-containing protein 1
14349	VaccDscaff17-snap-gene-223.19	MADS-box transcription factor
14350	VaccDscaff17-augustus-gene-223.18	Belongs to the glycosyl hydrolase 1 family
14351	VaccDscaff17-augustus-gene-224.14	Ribonuclease III domain
14352	VaccDscaff17-snap-gene-224.16	Belongs to the helicase family. Dicer subfamily
14353	VaccDscaff17-snap-gene-224.18	Glycosyl hydrolase family 1
14354	VaccDscaff17-snap-gene-225.19	Calcineurin-like phosphoesterase
14355	VaccDscaff17-snap-gene-225.22	magnesium transporter
14356	VaccDscaff17-augustus-gene-225.17	-
14357	VaccDscaff17-snap-gene-225.20	Serine carboxypeptidase
14358	VaccDscaff17-augustus-gene-225.18	The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2)
14359	VaccDscaff17-snap-gene-226.24	CYSTM1 family protein A-like
14360	VaccDscaff17-augustus-gene-226.16	meprin and TRAF homology domain-containing protein MATH domain-containing protein
14361	VaccDscaff17-augustus-gene-226.20	Pollen-specific protein
14362	VaccDscaff17-snap-gene-227.22	DNA polymerase
14363	VaccDscaff17-augustus-gene-227.21	QWRF family
14364	VaccDscaff17-augustus-gene-227.19	beta-D-xylosidase
14365	VaccDscaff17-augustus-gene-228.30	histone deacetylase
14366	VaccDscaff17-augustus-gene-228.35	protein At4g01020, chloroplastic
14367	VaccDscaff17-snap-gene-228.39	sulfhydryl oxidase
14368	VaccDscaff17-augustus-gene-228.32	40S ribosomal protein
14369	VaccDscaff17-snap-gene-228.40	Metal transporter
14370	VaccDscaff17-augustus-gene-229.15	histone deacetylase
14371	VaccDscaff17-augustus-gene-229.16	sulfhydryl oxidase
14372	VaccDscaff17-snap-gene-230.24	phosphatase 2c
14373	VaccDscaff17-augustus-gene-230.20	UPF0261 protein
14374	VaccDscaff17-augustus-gene-230.22	Upstream activation factor subunit
14375	VaccDscaff17-augustus-gene-230.21	phosphoribosylaminoimidazole carboxylase
14376	VaccDscaff17-augustus-gene-231.19	Thioredoxin domain-containing protein 9 homolog
14377	VaccDscaff17-augustus-gene-231.18	occurring C-terminal to leucine-rich repeats
14378	VaccDscaff17-augustus-gene-231.20	expressed protein
14379	VaccDscaff17-augustus-gene-231.21	Pumilio-family RNA binding repeat
14380	VaccDscaff17-augustus-gene-231.22	ribosomal protein S7
14381	VaccDscaff17-snap-gene-232.19	Belongs to the UDP-glycosyltransferase family
14382	VaccDscaff17-snap-gene-232.20	RNA pseudouridine synthase 4
14383	VaccDscaff17-snap-gene-232.18	Deoxycytidyl transferase involved in DNA repair. Transfers a dCMP residue from dCTP to the 3'-end of a DNA primer in a template-dependent reaction. May assist in the first step in the bypass of abasic lesions by the insertion of a nucleotide opposite the lesion. Required for normal induction of mutations by physical and chemical agents
14384	VaccDscaff17-snap-gene-232.21	assists the folding of proteins upon ATP hydrolysis
14385	VaccDscaff17-processed-gene-232.12	transcription factor
14386	VaccDscaff17-augustus-gene-233.26	Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family
14387	VaccDscaff17-augustus-gene-233.25	Reticulon-like protein
14388	VaccDscaff17-augustus-gene-233.27	sodium ion transport
14389	VaccDscaff17-augustus-gene-233.28	Protein TIC 21 chloroplastic
14390	VaccDscaff17-augustus-gene-233.31	stress enhanced protein 1
14391	VaccDscaff17-snap-gene-233.38	sodium ion transport
14392	VaccDscaff17-processed-gene-233.8	Belongs to the small GTPase superfamily. Arf family
14393	VaccDscaff17-augustus-gene-234.18	CBS domain-containing protein
14394	VaccDscaff17-processed-gene-234.2	DNA-directed RNA polymerases II, IV and V subunit
14395	VaccDscaff17-augustus-gene-234.21	C2 domain-containing protein
14396	VaccDscaff17-processed-gene-234.7	Polysaccharide biosynthesis
14397	VaccDscaff17-processed-gene-235.14	E3 ubiquitin-protein ligase
14398	VaccDscaff17-snap-gene-235.27	E3 ubiquitin ligase SUD1
14399	VaccDscaff17-augustus-gene-235.23	caffeoyl-CoA O-methyltransferase
14400	VaccDscaff17-processed-gene-235.9	Modified RING finger domain
14401	VaccDscaff17-processed-gene-236.13	Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth
14402	VaccDscaff17-snap-gene-236.30	Thioredoxin
14403	VaccDscaff17-augustus-gene-236.20	RNA helicase SDE3
14404	VaccDscaff17-processed-gene-236.4	NYN domain
14405	VaccDscaff17-augustus-gene-236.22	NADH dehydrogenase ubiquinone iron-sulfur protein 4
14406	VaccDscaff17-augustus-gene-237.21	Glycoprotein 3-alpha-l-fucosyltransferase
14407	VaccDscaff17-snap-gene-237.24	Protein N-lysine methyltransferase
14408	VaccDscaff17-augustus-gene-237.22	Belongs to the cytochrome P450 family
14409	VaccDscaff17-snap-gene-237.25	Pentatricopeptide repeat-containing protein
14410	VaccDscaff17-snap-gene-237.28	carboxylase beta chain
14411	VaccDscaff17-snap-gene-238.20	receptor-like serine threonine-protein kinase
14412	VaccDscaff17-processed-gene-238.3	transcription factor
14413	VaccDscaff17-snap-gene-238.19	lag1 longevity assurance homolog
14414	VaccDscaff17-processed-gene-238.5	Calmodulin-like protein 1
14415	VaccDscaff17-processed-gene-238.8	Pentatricopeptide repeat-containing protein
14416	VaccDscaff17-snap-gene-239.35	DNA repair and recombination protein
14417	VaccDscaff17-augustus-gene-239.33	Eukaryotic protein of unknown function (DUF829)
14418	VaccDscaff17-processed-gene-239.11	Carboxylesterase
14419	VaccDscaff17-augustus-gene-239.30	B3 domain-containing protein
14420	VaccDscaff17-augustus-gene-239.31	B3 domain-containing protein
14421	VaccDscaff17-snap-gene-239.40	B3 DNA binding domain
14422	VaccDscaff17-processed-gene-239.9	Carboxylesterase
14423	VaccDscaff17-snap-gene-240.30	Transmembrane amino acid transporter protein
14424	VaccDscaff17-snap-gene-240.34	WAT1-related protein
14425	VaccDscaff17-processed-gene-240.18	Carboxylesterase
14426	VaccDscaff17-augustus-gene-241.23	Belongs to the sulfotransferase 1 family
14427	VaccDscaff17-snap-gene-241.27	beta-D-xylosidase
14428	VaccDscaff17-processed-gene-241.3	Carboxylesterase family
14429	VaccDscaff17-augustus-gene-241.25	Dienelactone hydrolase family
14430	VaccDscaff17-processed-gene-241.5	GDSL esterase lipase
14431	VaccDscaff17-processed-gene-241.22	Protein of unknown function (DUF1645)
14432	VaccDscaff17-augustus-gene-242.18	RNA recognition motif
14433	VaccDscaff17-snap-gene-242.26	Belongs to the peptidase S10 family
14434	VaccDscaff17-augustus-gene-242.22	Belongs to the sulfotransferase 1 family
14435	VaccDscaff17-augustus-gene-242.24	Plastocyanin-like domain protein
14436	VaccDscaff17-augustus-gene-242.23	-
14437	VaccDscaff17-processed-gene-242.2	GDSL esterase lipase
14438	VaccDscaff17-augustus-gene-243.18	Belongs to the protein kinase superfamily
14439	VaccDscaff17-augustus-gene-243.20	Upstream activation factor subunit
14440	VaccDscaff17-snap-gene-243.26	Far upstream element-binding protein
14441	VaccDscaff17-augustus-gene-243.19	Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily
14442	VaccDscaff17-processed-gene-243.4	-
14443	VaccDscaff17-augustus-gene-244.20	DNA-directed DNA polymerase activity
14444	VaccDscaff17-augustus-gene-244.24	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
14445	VaccDscaff17-augustus-gene-244.23	N-acetyl-gamma-glutamyl-phosphate reductase
14446	VaccDscaff17-snap-gene-244.35	Belongs to the iron ascorbate-dependent oxidoreductase family
14447	VaccDscaff17-snap-gene-244.37	Belongs to the iron ascorbate-dependent oxidoreductase family
14448	VaccDscaff17-snap-gene-245.26	anion binding
14449	VaccDscaff17-augustus-gene-245.24	B3 domain-containing transcription factor
14450	VaccDscaff17-augustus-gene-245.23	Cell division cycle-associated
14451	VaccDscaff17-processed-gene-245.7	Crooked neck protein
14452	VaccDscaff17-augustus-gene-246.22	Belongs to the PI3 PI4-kinase family
14453	VaccDscaff17-snap-gene-246.28	Chaperone protein which promotes assembly of the 20S proteasome as part of a heterodimer with PSMG1
14454	VaccDscaff17-processed-gene-246.6	Pentatricopeptide repeat-containing protein
14455	VaccDscaff17-processed-gene-247.1	Belongs to the Casparian strip membrane proteins (CASP) family
14456	VaccDscaff17-augustus-gene-247.19	C1 domain
14457	VaccDscaff17-augustus-gene-247.17	Cold-regulated 413 plasma membrane protein
14458	VaccDscaff17-snap-gene-247.26	Domain of unknown function
14459	VaccDscaff17-processed-gene-247.8	subtilisin-like
14460	VaccDscaff17-processed-gene-247.4	-
14461	VaccDscaff17-augustus-gene-248.18	1-acyl-sn-glycerol-3-phosphate acyltransferase
14462	VaccDscaff17-processed-gene-248.3	lipid-transfer protein
14463	VaccDscaff17-augustus-gene-248.23	cytochrome c biogenesis protein
14464	VaccDscaff17-augustus-gene-248.20	Protein of unknown function, DUF547
14465	VaccDscaff17-augustus-gene-248.19	Belongs to the globin family
14466	VaccDscaff17-processed-gene-248.9	UPF0496 protein At4g34320-like
14467	VaccDscaff17-augustus-gene-249.23	isopentenyltransferase
14468	VaccDscaff17-snap-gene-249.25	isopentenyltransferase
14469	VaccDscaff17-snap-gene-249.26	UPF0496 protein At4g34320-like
14470	VaccDscaff17-augustus-gene-250.40	Minor allergen Alt a
14471	VaccDscaff17-augustus-gene-250.41	deSI-like protein
14472	VaccDscaff17-augustus-gene-251.21	homeobox-leucine zipper protein
14473	VaccDscaff17-augustus-gene-251.20	Protein of unknown function (DUF1118)
14474	VaccDscaff17-augustus-gene-251.22	HVA22-like protein
14475	VaccDscaff17-augustus-gene-251.24	Nitrate transporter
14476	VaccDscaff17-processed-gene-251.8	Pentatricopeptide repeat-containing protein
14477	VaccDscaff17-snap-gene-251.31	HPP family
14478	VaccDscaff17-augustus-gene-252.34	POT family
14479	VaccDscaff17-snap-gene-252.45	Dehydrogenase
14480	VaccDscaff17-augustus-gene-252.37	Dehydrogenase
14481	VaccDscaff17-snap-gene-252.48	Belongs to the protein kinase superfamily. Ser Thr protein kinase family
14482	VaccDscaff17-processed-gene-253.5	LOB domain-containing protein
14483	VaccDscaff17-snap-gene-253.43	Protein of unknown function (DUF627)
14484	VaccDscaff17-augustus-gene-253.29	POT family
14485	VaccDscaff17-augustus-gene-253.28	POT family
14486	VaccDscaff17-augustus-gene-253.36	Zinc ion binding
14487	VaccDscaff17-augustus-gene-253.35	DnaJ molecular chaperone homology domain
14488	VaccDscaff17-augustus-gene-253.34	Plasma membrane ATPase
14489	VaccDscaff17-augustus-gene-254.22	Major Facilitator Superfamily protein
14490	VaccDscaff17-processed-gene-254.1	Ribosomal RNA processing protein 1 homolog
14491	VaccDscaff17-augustus-gene-255.43	transcription factor
14492	VaccDscaff17-augustus-gene-255.38	HIPL1 protein-like
14493	VaccDscaff17-augustus-gene-255.46	Zein-binding
